"Symbol","Description","Market Capitalization","Average Volume (10 Day)","Price","Universe","Sector","Industry","Sub-Industry"
"PK","Park Hotels & Resorts Inc","$2B (Small)","4,359,000","$10.88","Domestic","Real Estate","Hotel & Resort REITs","Hotel & Resort REITs"
"PLD","Prologis Inc","$121B (Large)","3,379,420","$130.18","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"PNW","Pinnacle West Capital Corp","$11B (Mid)","1,193,520","$87.81","Domestic","Utilities","Electric Utilities","Electric Utilities"
"POR","Portland General Electric Co","$5B (Small)","1,157,770","$48.13","Domestic","Utilities","Electric Utilities","Electric Utilities"
"PPL","PPL Corp","$25B (Mid)","7,557,930","$33.99","Domestic","Utilities","Electric Utilities","Electric Utilities"
"PSA","Public Storage","$48B (Large)","1,060,500","$274.97","Domestic","Real Estate","Specialized REITs","Self-Storage REITs"
"REG","Regency Centers Corp","$12B (Mid)","1,102,950","$67.76","Domestic","Real Estate","Retail REITs","Retail REITs"
"REXR","Rexford Industrial Realty Inc","$10B (Mid)","2,284,360","$41.28","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"RHP","Ryman Hospitality Properties Inc","$6B (Small)","438,230","$97.99","Domestic","Real Estate","Hotel & Resort REITs","Hotel & Resort REITs"
"RNW","Renew Energy Global PLC","$3B (Small)","734,340","$7.55","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Renewable Electricity"
"RWEOY","RWE AG","$37B (Mid)","35,280","$50.96","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"RYN","Rayonier Inc","$3B (Small)","1,494,220","$21.85","Domestic","Real Estate","Specialized REITs","Timber REITs"
"SBAC","SBA Communications Corp","$20B (Mid)","786,210","$191.66","Domestic","Real Estate","Specialized REITs","Telecom Tower REITs"
"SBRA","Sabra Health Care REIT Inc","$5B (Small)","3,329,680","$19.18","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"SBS","Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP","$17B (Mid)","1,226,220","$25.18","International (ADR)","Utilities","Water Utilities","Water Utilities"
"SKT","Tanger Inc","$4B (Small)","756,230","$33.60","Domestic","Real Estate","Retail REITs","Retail REITs"
"SLG","SL Green Realty Corp","$3B (Small)","1,834,330","$44.64","Domestic","Real Estate","Office REITs","Office REITs"
"SO","Southern Co","$93B (Large)","7,056,070","$84.44","Domestic","Utilities","Electric Utilities","Electric Utilities"
"SPG","Simon Property Group Inc","$59B (Large)","1,512,860","$182.02","Domestic","Real Estate","Retail REITs","Retail REITs"
"SR","Spire Inc","$5B (Small)","416,200","$83.31","Domestic","Utilities","Gas Utilities","Gas Utilities"
"SRE","Sempra","$58B (Large)","3,672,570","$88.49","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"SSEZY","SSE PLC","$34B (Mid)","846,290","$28.44","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"STAG","STAG Industrial Inc","$7B (Small)","1,176,630","$37.68","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"SUHJY","Sun Hung Kai Properties Ltd","$37B (Mid)","48,700","$12.72","International (ADR)","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities"
"SUI","Sun Communities Inc","$15B (Mid)","764,740","$122.20","Domestic","Real Estate","Residential REITs","Single-Family Residential REITs"
"SWX","Southwest Gas Holdings Inc","$6B (Small)","382,730","$80.08","Domestic","Utilities","Gas Utilities","Gas Utilities"
"TAC","TransAlta Corp","$4B (Small)","1,239,530","$13.85","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"TLN","Talen Energy Corp","$16B (Mid)","916,310","$356.36","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"TRNO","Terreno Realty Corp","$6B (Small)","628,350","$61.34","Domestic","Real Estate","Industrial REITs","Industrial REITs"
"TXNM","TXNM Energy Inc","$6B (Small)","909,230","$58.81","Domestic","Utilities","Electric Utilities","Electric Utilities"
"UDR","UDR Inc","$12B (Mid)","2,576,390","$35.53","Domestic","Real Estate","Residential REITs","Multi-Family Residential REITs"
"UE","Urban Edge Properties","$2B (Small)","757,760","$19.66","Domestic","Real Estate","Retail REITs","Retail REITs"
"UGI","UGI Corp","$8B (Mid)","2,310,550","$38.21","Domestic","Utilities","Gas Utilities","Gas Utilities"
"UUGRY","United Utilities Group PLC","$11B (Mid)","39,720","$31.42","International (ADR)","Utilities","Water Utilities","Water Utilities"
"VEOEY","Veolia Environnement SA","$25B (Mid)","107,270","$17.15","International (ADR)","Utilities","Multi-Utilities","Multi-Utilities"
"VICI","VICI Properties Inc","$31B (Mid)","15,715,230","$28.66","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"VNO","Vornado Realty Trust","$7B (Small)","1,444,120","$35.35","Domestic","Real Estate","Office REITs","Office REITs"
"VST","Vistra Corp","$58B (Large)","4,272,090","$170.10","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"VTR","Ventas Inc","$37B (Mid)","3,281,250","$77.86","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"WEC","WEC Energy Group Inc","$34B (Mid)","2,291,720","$103.88","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"WELL","Welltower Inc","$128B (Large)","3,538,520","$186.73","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"WPC","WP Carey Inc","$14B (Mid)","1,359,080","$65.01","Domestic","Real Estate","Diversified REITs","Diversified REITs"
"WTRG","Essential Utilities Inc","$11B (Mid)","2,106,160","$37.95","Domestic","Utilities","Water Utilities","Water Utilities"
"WY","Weyerhaeuser Co","$17B (Mid)","7,814,390","$23.39","Domestic","Real Estate","Specialized REITs","Timber REITs"
"XEL","Xcel Energy Inc","$44B (Large)","4,694,760","$75.15","Domestic","Utilities","Electric Utilities","Electric Utilities"
"Z","Zillow Group Inc","$14B (Mid)","1,849,130","$74.71","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
