"Symbol","Description","Market Capitalization","Average Volume (10 Day)","Price","Universe","Sector","Industry","Sub-Industry"
"RBRK","Rubrik Inc","$16B (Mid)","5,567,080","$81.53","Domestic","Information Technology","Software","Systems Software"
"RCUS","Arcus Biosciences Inc","$3B (Small)","2,445,830","$21.53","Domestic","Health Care","Biotechnology","Biotechnology"
"RDNT","RadNet Inc","$6B (Small)","820,510","$73.94","Domestic","Health Care","Health Care Providers & Services","Health Care Services"
"RDY","Dr Reddy's Laboratories Ltd","$12B (Mid)","1,092,510","$14.02","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals"
"REGN","Regeneron Pharmaceuticals Inc","$78B (Large)","990,720","$741.29","Domestic","Health Care","Biotechnology","Biotechnology"
"RELX","RELX PLC","$74B (Large)","2,262,450","$40.38","International (ADR)","Industrials","Professional Services","Research & Consulting Services"
"REVG","REV Group Inc","$3B (Small)","806,970","$58.44","Domestic","Industrials","Machinery","Construction Machinery & Heavy Transportation Equipment"
"REZI","Resideo Technologies Inc","$5B (Small)","1,729,770","$36.19","Domestic","Industrials","Building Products","Building Products"
"RGC","Regencell Bioscience Holdings Ltd","$8B (Mid)","293,740","$16.60","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals"
"RGEN","Repligen Corp","$9B (Mid)","682,000","$157.39","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"RGLD","Royal Gold Inc","$18B (Mid)","752,870","$218.75","Domestic","Materials","Metals & Mining","Gold"
"RGTI","Rigetti Computing Inc","$9B (Mid)","40,116,450","$25.84","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"RHHBY","Roche Holding AG","$276B (Large)","2,473,820","$50.04","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals"
"RHI","Robert Half Inc","$3B (Small)","1,862,930","$27.66","Domestic","Industrials","Professional Services","Human Resource & Employment Services"
"RICOY","Ricoh Co Ltd","$5B (Small)","60","$8.29","International (ADR)","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"RIO","Rio Tinto PLC","$95B (Large)","3,977,780","$75.66","International (ADR)","Materials","Metals & Mining","Diversified Metals & Mining"
"RIOT","Riot Platforms Inc","$6B (Small)","16,568,980","$15.30","Domestic","Information Technology","Software","Application Software"
